model_name,mAP,Bus,Car,Vehicle registration plate,no_items
model_v26,0.5527,0.738,0.5839,0.3363,[295  476  381]/669
model_v25,0.4993,0.7162,0.5525,0.2292,[306  528  384]/669
model_v27,0.6237,0.8502,0.5114,0.5096,[262  486  441]/669
model_v27_fine_tuned,0.6441,0.8569,0.5569,0.5184,[265  483  430]/669
model_v28,0.6513,0.8441,0.5949,0.5148,[270  484  433]/669
model_v29,0.6535,0.8337,0.6029,0.5238,[280  510  463]/669
model_v30,0.6669,0.8647,0.5899,0.546,[271  510  449]/669
model_v31,0.6427,0.8675,0.5559,0.5045,[266  503  422]/669
model_v32,0.6656,0.871,0.5909,0.535,[270  499  436]/669
model_v33,0.6771,0.8633,0.5946,0.5733,[273  487  431]/669
model_v34,0.6536,0.8553,0.6056,0.5,[276  502  452]/669
model_v35,0.6274,0.8112,0.5824,0.4887,[279  527  412]/669
model_v36,0.6783,0.8699,0.6113,0.5539,[271  511  450]/669
model_v37,0.6522,0.8523,0.5716,0.5326,[264  536  440]/669
model_v38,0.6627,0.8382,0.6142,0.5358,[282  518  458]/669
