model_name,mAP,Bus,Car,Vehicle registration plate,no_items
model_v26,0.4965,0.7528,0.465,0.2717,[267  447  349]/669
model_v25,0.4417,0.7539,0.3952,0.176,[277  445  341]/669
model_v27,0.5893,0.8395,0.4294,0.4992,[256  433  397]/669
model_v27_fine_tuned,0.6147,0.8569,0.4797,0.5074,[258  436  385]/669
model_v28,0.6493,0.8343,0.5954,0.5182,[261  449  380]/669
model_v29,0.6778,0.8787,0.5991,0.5557,[265  482  419]/669
model_v30,0.6725,0.884,0.5782,0.5553,[263  471  416]/669
model_v31,0.6225,0.8543,0.5178,0.4955,[262  460  374]/669
model_v32,0.6541,0.8927,0.5598,0.5098,[261  460  392]/669
model_v33,0.6746,0.8745,0.5752,0.5742,[267  458  391]/669
model_v34,0.6589,0.8758,0.5965,0.5045,[267  473  407]/669
model_v35,0.6304,0.829,0.5771,0.4853,[267  494  362]/669
model_v36,0.6892,0.8843,0.6057,0.5776,[265  485  408]/669
model_v37,0.6561,0.8542,0.5764,0.5377,[259  509  398]/669
