model_name,mAP,Bus,Car,Vehicle registration plate,no_items
model_v26,0.5538,0.7394,0.5841,0.3377,[295  476  378]/669
model_v25,0.4992,0.7179,0.5533,0.2264,[306  528  382]/669
model_v27,0.621,0.8461,0.51,0.5068,[262  486  441]/669
model_v27_fine_tuned,0.644,0.8544,0.559,0.5186,[265  482  429]/669
model_v28,0.6495,0.8407,0.5952,0.5125,[270  484  433]/669
model_v29,0.653,0.8339,0.6018,0.5233,[280  510  463]/669
model_v30,0.6658,0.8629,0.5904,0.5442,[271  510  449]/669
model_v31,0.6423,0.8665,0.557,0.5034,[266  503  421]/669
model_v32,0.6636,0.8704,0.5905,0.53,[270  499  436]/669
model_v33,0.6772,0.8636,0.5948,0.5733,[273  487  431]/669
model_v34,0.652,0.8532,0.6059,0.497,[276  502  451]/669
model_v35,0.6271,0.8112,0.5827,0.4874,[279  527  410]/669
model_v36,0.6787,0.8692,0.6113,0.5557,[271  511  449]/669
