model_name,mAP,Bus,Car,Vehicle registration plate,no_items
model_v26,0.2734,0.5007,0.2358,0.0838,[256  412  334]/669
model_v25,0.2016,0.4225,0.1414,0.0411,[258  389  341]/669
model_v27,0.3328,0.4783,0.2568,0.2633,[254  413  383]/669
model_v27_fine_tuned,0.339,0.4869,0.2733,0.2569,[255  421  375]/669
model_v28,0.3963,0.5787,0.3698,0.2405,[254  430  370]/669
model_v29,0.4807,0.6789,0.4453,0.3179,[258  443  390]/669
model_v30,0.4663,0.6841,0.3942,0.3207,[258  449  382]/669
model_v31,0.3778,0.5636,0.3193,0.2507,[257  427  357]/669
model_v32,0.4607,0.6667,0.4091,0.3064,[257  427  377]/669
model_v33,0.4817,0.7207,0.4069,0.3175,[262  430  368]/669
model_v34,0.4755,0.6911,0.4229,0.3124,[259  443  374]/669
model_v35,0.4043,0.5759,0.3956,0.2414,[257  452  348]/669
model_v36,0.5161,0.7126,0.4668,0.3688,[261  455  381]/669
model_v37,0.4484,0.583,0.4297,0.3324,[259  479  377]/669
model_v38,0.5335,0.7611,0.5013,0.338,[262  452  393]/669
model_v39,0.476,0.6592,0.4631,0.3056,[269  477  360]/669
model_v40,0.3874,0.6,0.3742,0.188,[260  432  383]/669
model_v41,0.486,0.6782,0.4456,0.3343,[261  445  356]/669
model_v42,0.5322,0.7303,0.499,0.3672,[262  454  399]/669
model_v43,0.2386,0.4705,0.146,0.0992,[254  387  351]/669
